citing_oid	citing_date	class	bad_cite	good_cite	pdf_verdict	context
15795	2012-02-17	NW_DIGIT_FLIP	784 N.W.2d 148	784 N.W.2d 143	VERIFIED	*State v. Buckley,*2010 ND 248, ¶ 7, 792 N.W.2d 518 (quoting *State v. Wanner,*2010 ND 121, ¶ 9, 784
15807	2012-02-17	NW_DIGIT_FLIP	788 N.W.2d 633	783 N.W.2d 633	VERIFIED	ay be modified at any time before the final order. *See Martinson v. Martinson,*2010 ND 110, ¶ 19, 7
15817	2012-03-15	NW_DIGIT_FLIP	602 N.W.2d 698	602 N.W.2d 693	VERIFIED	ng an ordinary person could get from reading the section.” *State v. Velasquez,*1999 ND 217, ¶ 4, 60
15819	2012-03-15	NW_DIGIT_FLIP	808 N.W.2d 578	803 N.W.2d 578	VERIFIED	inder could have found the defendant guilty beyond a reasonable doubt. *Vondal,*2011 ND 186, ¶ 22, 8
15824	2012-04-03	ND_DIGIT_FLIP	2002 ND 58	2002 ND 53	VERIFIED	large — must have an interest or right that may be affected.” *Kelsh v. Jaeger,*2002 ND 58, ¶ 2, 641
15825	2012-04-10	NW_DIGIT_FLIP	722 N.W.2d 859	722 N.W.2d 359	VERIFIED	voided for reasons already recorded. *See Sandberg v. American Family Ins. Co.,*2006 ND 198, ¶¶ 19-2
15829	2012-04-10	ND_DIGIT_FLIP	2011 ND 166	2011 ND 160	PDF_HAS_BAD	of review, we do not reweigh evidence or reassess witness credibility. *Miller,*2011 ND 166, ¶ 12, 8
15837	2012-05-03	ND_DIGIT_FLIP	2000 ND 188	2000 ND 183	VERIFIED	ty of the child’s relationship with the custodial parent.” *Anderson v. Resler,*2000 ND 188, ¶ 11, 6
15846	2012-05-04	NW_DIGIT_FLIP	680 N.W.2d 684	680 N.W.2d 634	VERIFIED	of the rights of the owner.” *Ritter, Laber &*Assocs., *Inc. v. Koch Oil, Inc.,*2004 ND 117, ¶ 11, 6
15865	2012-07-12	ND_DIGIT_FLIP	2012 ND 128	2012 ND 123	VERIFIED	, and we are concerned here only with the constitutionality” of those statutes. 2012 ND 128, ¶ 40, 8
15866	2012-07-12	NW_DIGIT_FLIP	682 N.W.2d 815	632 N.W.2d 815	VERIFIED	esolving issues involving reasonableness standards.” *Doan v. City of Bismarck,*2001 ND 152, ¶ 26, 6
15874	2012-07-12	ND_DIGIT_FLIP	2003 ND 181	2003 ND 131	VERIFIED	e for \*760 purposes of making an initial child custody determination. *Benson,*2003 ND 181, ¶ 8, 66
15880	2012-07-12	ND_DIGIT_FLIP	2009 ND 38	2009 ND 33	VERIFIED	11 ND 69, ¶ 4, 795 N.W.2d 712 (quoting *Bragg v. Burlington Res. Oil & Gas Co.,*2009 ND 38, ¶ 5, 763
18862	2012-07-12	ND_DIGIT_FLIP	2011 ND 16	2011 ND 13	PDF_HAS_BAD	marily dismissed. This Court affirmed the dismissal on appeal. Foreid v. State, 2011 ND 16, 798 N.W.
15885	2012-07-26	NW_DIGIT_FLIP	812 N.W.2d 888	812 N.W.2d 388	VERIFIED	court was not required to accept Knudson’s testimony. *See Estate of Clemetson,*2012 ND 28, ¶ 19, 81
15888	2012-07-26	NW_DIGIT_FLIP	799 N.W.2d 860	799 N.W.2d 360	VERIFIED	ility is a probability sufficient to undermine confidence in the outcome.... ” 2011 ND 126, ¶ 8, 799
15907	2012-08-16	NW_DIGIT_FLIP	588 N.W.2d 621	583 N.W.2d 621	VERIFIED	¶ 30] I was part of the majority in *Geck v. North Dakota Workers Comp. Bureau,*1998 ND 158, 588 N.W
15890	2012-08-20	NW_DIGIT_FLIP	758 N.W.2d 785	758 N.W.2d 735	VERIFIED	ction and orders enumerated by statute are appeal-able.” *Brummund v. Brummund,*2008 ND 224, ¶ 5, 75
15921	2012-08-30	ND_DIGIT_FLIP	2008 ND 84	2008 ND 34	VERIFIED	People to Save the Sheyenne Riv*\*717*er, Inc. v. North Dakota Dep’t of Health,*2008 ND 84, ¶ 15, 74
15921	2012-08-30	NW_DIGIT_FLIP	684 N.W.2d 506	634 N.W.2d 506	VERIFIED	U.S.C. § 2011; 7 C.F.R. § 271.1(a); *see Schmidt v. Ward Cnty. Soc. Servs. Bd.,*2001 ND 169, ¶ 18, 6
15940	2012-10-23	NW_DIGIT_FLIP	681 N.W.2d 564	631 N.W.2d 564	VERIFIED	evelopment may be endangered in the present environment. *Selzler v. Selzler,* 2001 ND 138, ¶ 21 , 6
15946	2012-10-23	NW_DIGIT_FLIP	776 N.W.2d 548	776 N.W.2d 543	VERIFIED	ge, right, privilege, claim, or benefit. *First Int’l Bank & Trust v. Peterson,*2009 ND 207, ¶ 13, 7
15948	2012-10-23	NW_DIGIT_FLIP	599 N.W.3d 323	599 N.W.2d 323	BOTH	s job options in light of the worker’s restrictions and limitations. *Svedberg,*1999 ND 181, ¶ 15, 5
15949	2012-10-23	ND_DIGIT_FLIP	2008 ND 174	2003 ND 174	VERIFIED	Brandner v. Brandner,*2005 ND 111, ¶ 21, 698 N.W.2d 259; *McDowell v. McDowell,*2008 ND 174, ¶ 27, 6
18883	2012-10-23	ND_DIGIT_FLIP	2011 ND 199	2011 ND 198	PDF_HAS_BAD	N.W.2d 760; Holkesvig v. Welte, 2012 ND 14, 809 N.W.2d 323; Holkesvig v. Moore, 2011 ND 199, 806 N.W
15953	2012-11-27	NW_DIGIT_FLIP	771 N.W.2d 598	771 N.W.2d 593	VERIFIED	his appeal, which precludes this Court’s review on appeal. *See Frueh v. Frueh,*2009 ND 155, ¶ 20, 7
15955	2012-11-27	ND_DIGIT_FLIP	2008 ND 71	2003 ND 71	VERIFIED	ry disposition is entitled to judgment as a matter of law. *Vandeberg v. State,*2008 ND 71, ¶ 5, 660
15964	2012-11-28	ND_DIGIT_FLIP	2009 ND 128	2009 ND 123	VERIFIED	sustain a conviction of the offenses charged.’ ” *Id.* (quoting *State v. Maki,*2009 ND 128, ¶ 7, 76
15965	2012-11-30	NW_DIGIT_FLIP	705 N.W.2d 886	705 N.W.2d 836	VERIFIED	Brodell,*2008 ND 183, ¶ 12, 756 \*252 N.W.2d 779 (citing *Wetzel v. Schlenvogt,*2005 ND 190, ¶ 26, 7
15967	2012-12-18	NW_DIGIT_FLIP	788 N.W.2d 828	788 N.W.2d 328	VERIFIED	r from rebutting the paternity presumption. *Id.; see also Interests of S.L.W.,*2010 ND 172, ¶ 8, 78
15968	2012-12-18	ND_DIGIT_FLIP	2012 ND 183	2012 ND 133	VERIFIED	al violence is of such a degree as to pose a threat to others.’ ” *In re Rubey,*2012 ND 183, ¶ 8, 81
18955	2013-01-23	ND_DIGIT_FLIP	2011 ND 199	2011 ND 198	PDF_HAS_BAD	summarily affirm under N.D.R.App.P. 35.1(a)(1) and (7). See Holkesvig v. Moore, 2011 ND 199, 806 N.W
15998	2013-02-26	ND_DIGIT_FLIP	2011 ND 73	2011 ND 83	PDF_HAS_BAD	supported his continued commitment, and we summarily affirmed. *Matter of J.G.,*2011 ND 73, ¶ 1, 799
16045	2013-04-08	ND_DIGIT_FLIP	2011 ND 83	2011 ND 33	VERIFIED	rsion of N.D.C.C. ch. 38-18.1 applies to this case. *See Sorenson v. Felton,* 2011 ND 83, ¶ 9, 793 N
16037	2013-05-14	NW_DIGIT_FLIP	828 N.W.2d 482	823 N.W.2d 482	VERIFIED	rent who will better promote the child’s best interests. *Hammeren v. Hammeren,*2012 ND 225, ¶ 6, 82
16039	2013-05-14	NW_DIGIT_FLIP	637 N.W.2d 869	637 N.W.2d 369	VERIFIED	instruction standing alone may be insufficient or erroneous.” *State v. Barth,*2001 ND 201, ¶ 12, 63
16039	2013-05-14	ND_DIGIT_FLIP	2009 ND 128	2009 ND 123	VERIFIED	sustain a conviction of the offenses charged.’” *Id.* (quoting *State v. Maki,* 2009 ND 128, ¶ 7 , 7
16040	2013-05-14	NW_DIGIT_FLIP	784 N.W.2d 778	734 N.W.2d 778	VERIFIED	f care of all medical professionals, the record shows differently. *See Scheer,*2007 ND 104, ¶ 18, 7
16043	2013-05-14	NW_DIGIT_FLIP	768 N.W.2d 748	763 N.W.2d 748	VERIFIED	been established is a question of fact.” *Aasmundstad v. State of North Dakota,*2008 ND 206, ¶ 19, 7
16062	2013-06-19	NW_DIGIT_FLIP	728 N.W.2d 389	723 N.W.2d 389	VERIFIED	l other elements of description in the deed are ambiguous or uncertain.” *Hild,*2006 ND 217, ¶ 16, 7
16064	2013-06-19	NW_DIGIT_FLIP	691 N.W.2d 283	691 N.W.2d 233	VERIFIED	State v. Torkelsen,*2008 ND 141, ¶ 32, 752 N.W.2d 640 (citing *State v. Fields,*2005 ND 15, ¶ 9, 691
16070	2013-07-18	ND_DIGIT_FLIP	2008 ND 187	2003 ND 187	VERIFIED	ch a magistrate can determine their reliability.” He cites *State v. Dodson,* 2008 ND 187, ¶ 14, 671
16071	2013-07-18	ND_DIGIT_FLIP	2018 ND 70	2013 ND 70	VERIFIED	or for relief from a judgment under N.D.R.Civ.P. 60(b). *Waslaski v. State,* 2018 ND 70, ¶ 7, 830 N.
16098	2013-08-29	NW_DIGIT_FLIP	809 N.W.2d 381	809 N.W.2d 331	VERIFIED	t was unknown at the time of the prior custody decision. *Thompson v. Thompson,*2012 ND 15, ¶ 6, 809
16101	2013-08-29	ND_DIGIT_FLIP	2002 ND 96	2002 ND 95	VERIFIED	statute is a question of law, fully reviewable by this Court.” *State v. Laib,*2002 ND 96, ¶ 13, 644
16101	2013-08-29	NW_DIGIT_FLIP	708 N.W.2d 918	708 N.W.2d 913	VERIFIED	eviation from an applicable legal rule under current law.’ ” *State v. Bertram,*2006 ND 10, ¶17, 708
16112	2013-09-06	NW_DIGIT_FLIP	717 N.W.2d 153	715 N.W.2d 153	VERIFIED	missory estoppel doctrine because an essential element of the claim is missing. 2006 ND 121, ¶ 18, 7
16116	2013-09-25	NW_DIGIT_FLIP	885 N.W.2d 819	835 N.W.2d 819	NEITHER	ent on their face” to justify a modification, even if uncontradict-ed. *Jensen,*2013 ND 144, ¶ 13, 8
16118	2013-09-25	ND_DIGIT_FLIP	2011 ND 195	2011 ND 198	PDF_HAS_BAD	e, under the law of the case doctrine this Court’s decision in State v. Baatz, 2011 ND 195, ¶ 2, 806
16118	2013-09-25	ND_DIGIT_FLIP	2011 ND 195	2011 ND 198	PDF_HAS_BAD	llowing Baatz to file an untimely appeal from the criminal judgment. In Baatz, 2011 ND 195, ¶¶ 1- 3,
16118	2013-09-25	ND_DIGIT_FLIP	2011 ND 195	2011 ND 198	PDF_HAS_BAD	l and ineffective assistance of counsel in postconviction proceedings.” Baatz, 2011 ND 195, ¶ 2, 806
16118	2013-09-25	ND_DIGIT_FLIP	2011 ND 195	2011 ND 198	PDF_HAS_BAD	instructions become “the law of the case whether right or wrong”). In Baatz, 2011 ND 195, ¶ 2, 806 N
16125	2013-10-22	NW_DIGIT_FLIP	799 N.W.2d 832	799 N.W.2d 332	VERIFIED	s probable cause to believe the juvenile committed the offense.... *In re R.A.,*2011 ND 119, ¶ 6, 79
16126	2013-10-22	NW_DIGIT_FLIP	681 N.W.2d 159	631 N.W.2d 159	VERIFIED	stitutional issues, generally will not be addressed on appeal.” *In re R.O.,* 2001 ND 137, ¶ 19, 681
16131	2013-10-22	NW_DIGIT_FLIP	826 N.W.2d 308	826 N.W.2d 303	VERIFIED	to understand the basis for the district court’s decision. *Sateren v. Sateren,*2013 ND 12, ¶ 16, 82
16134	2013-10-22	ND_DIGIT_FLIP	2012 ND 191	2012 ND 196	PDF_HAS_BAD	petition for discharge, and this Court affirmed on appeal. *See In re Hehn,* 2012 ND 191, 821 N.W.2d
16136	2013-10-30	NW_DIGIT_FLIP	880 N.W.2d 586	830 N.W.2d 586	VERIFIED	fficient to sustain a conviction of the offenses charged.” *State v. Romero,* 2013 ND 77, ¶ 24, 880 
16191	2014-01-14	ND_DIGIT_FLIP	2018 ND 48	2013 ND 48	VERIFIED	erally supports an equal division of all marital assets. *Hoverson v. Hoverson,*2018 ND 48, ¶¶ 8-10,
16198	2014-01-17	ND_DIGIT_FLIP	2000 ND 208	2000 ND 203	VERIFIED	he change should make a greater sacrifice than her children. *Logan v. Bush,* 2000 ND 208, ¶ 15, 621
16200	2014-01-28	NW_DIGIT_FLIP	689 N.W.2d 690	639 N.W.2d 690	VERIFIED	tion of a defendant who is not competent to stand trial. *State v. Roberson,* 2002 ND 24, ¶ 12, 689 
16232	2014-03-14	ND_DIGIT_FLIP	2012 ND 128	2012 ND 123	VERIFIED	ent funds to the proper recipients in accordance with N.D.C.C. § 40-58-20(10).” 2012 ND 128, ¶¶ 62-6
16233	2014-03-20	ND_DIGIT_FLIP	1997 ND 228	1997 ND 223	VERIFIED	n administrative proceeding. *Cridland v. North Dakota Workers Comp. Bureau,* 1997 ND 228, ¶ 18, 571
16236	2014-04-03	ND_DIGIT_FLIP	2011 ND 199	2011 ND 198	PDF_HAS_BAD	60; *Holkesvig v. Welte,* 2012 ND 14, 809 N.W.2d 323; *Holkesvig v. Moore,* 2011 ND 199, 806 N.W.2d 
16236	2014-04-03	NW_DIGIT_FLIP	798 N.W.2d 371	793 N.W.2d 371	VERIFIED	ercise of the circuit court’s power to enforce its judgment.” *564 *Herzig,* 2011 ND 7, ¶¶6-7, 798 N
16260	2014-04-03	NW_DIGIT_FLIP	567 N.W.2d 836	567 N.W.2d 336	VERIFIED	e that would justify executing the warrant at nighttime. *Cf. State v. Herrick,*1997 ND 155, ¶ 17, 5
16260	2014-04-03	NW_DIGIT_FLIP	691 N.W.2d 283	691 N.W.2d 233	VERIFIED	constitute greater intrusions on privacy than do daytime searches.’ ” *Fields,*2005 ND 15, ¶ 9, 691 
16256	2014-04-29	ND_DIGIT_FLIP	2014 ND 81	2014 ND 31	VERIFIED	ert witnesses and the weight given to their testimony. *Matter of Mangelsen,* 2014 ND 81, ¶ 8, 843 N
16257	2014-04-29	ND_DIGIT_FLIP	2010 ND 168	2010 ND 163	VERIFIED	nality disorder, or other mental disorder or dysfunction.” *See Matter of A.M.,*2010 ND 168, ¶¶13, 1
16257	2014-04-29	NW_DIGIT_FLIP	848 N.W.2d 8	843 N.W.2d 8	VERIFIED	t testimony in sexually dangerous individual proceedings. *Matter of Mangelsen,*2014 ND 31, ¶ 8, 848
16259	2014-04-29	NW_DIGIT_FLIP	809 N.W.2d 828	809 N.W.2d 328	VERIFIED	urage piecemeal appeals of multi-claim litigation. *Estate of Hollingsworth,* 2012 ND 16, ¶ 9, 809 N
16261	2014-04-29	NW_DIGIT_FLIP	789 N.W.2d 728	789 N.W.2d 723	VERIFIED	*may* be sought through a motion. N.D.C.C. § 14-09-05.1(4); *R.F. v. M.M.,* 2010 ND 195, ¶ 18, 789 N
16264	2014-05-01	ND_DIGIT_FLIP	2018 ND 155	2013 ND 155	VERIFIED	within a recognized exception to the warrant requirement. *State v. Nickel,* 2018 ND 155, ¶ 22, 836 
16265	2014-05-02	ND_DIGIT_FLIP	2018 ND 46	2013 ND 46	VERIFIED	would generally be tried to the court. *E.g., Hayden v. Medcenter One, Inc.,* 2018 ND 46, ¶¶ 14, 22,
16272	2014-05-28	ND_DIGIT_FLIP	2013 ND 108	2013 ND 103	VERIFIED	ity if there are persuasive reasons for that preference.” *Miller v. Miller,* 2013 ND 108, ¶ 6, 832 
16273	2014-05-28	NW_DIGIT_FLIP	795 N.W.2d 818	795 N.W.2d 318	VERIFIED	sions to give meaning to each *729 provision if possible. *Lund v. Lund,* 2011 ND 53, ¶ 9, 795 N.W.2
16280	2014-06-04	NW_DIGIT_FLIP	681 N.W.2d 564	631 N.W.2d 564	VERIFIED	o the conduct of a trial will not be set aside on appeal.” *Selzler v. Selzler,*2001 ND 138, ¶ 10, 6
16283	2014-06-24	NW_DIGIT_FLIP	848 N.W.2d 305	843 N.W.2d 305	VERIFIED	to the hearing officer to judge the credibility of the witnesses. *Potratz,* 2014 ND 48, ¶ 7, 848 N.
16288	2014-06-24	ND_DIGIT_FLIP	2011 ND 58	2011 ND 53	VERIFIED	ts and homestead rights and was not a legitimate transaction. *Lund v. Lund,* 2011 ND 58, ¶¶ 1, 18-1
16288	2014-06-24	NW_DIGIT_FLIP	709 N.W.2d 738	709 N.W.2d 733	VERIFIED	tion a mistake has been made. *Edward H. Schwartz Constr., Inc. v. Driessen,* 2006 ND 15, ¶ 6, 709 N
16288	2014-06-24	NW_DIGIT_FLIP	818 N.W.2d 531	813 N.W.2d 531	VERIFIED	*Lord & Stevens,* 2008 ND 189, ¶ 9, 756 N.W.2d 789. In *Erickson v. Brown,* 2012 ND 43, ¶ 25, 818 N.
16291	2014-06-24	ND_DIGIT_FLIP	2014 ND 18	2014 ND 13	VERIFIED	are evidence the district court may consider in deciding the motion. *Schwalk,*2014 ND 18, ¶ 12, 841
16291	2014-06-24	ND_DIGIT_FLIP	2000 ND 208	2000 ND 203	VERIFIED	me, but also takes into account the obligor’s earning capacity. *Logan v. Bush,*2000 ND 208, ¶ 9, 62
16301	2014-07-17	ND_DIGIT_FLIP	2018 ND 54	2013 ND 54	VERIFIED	ror constitutes obvious error affecting substantial rights.” *State v. Doppler,*2018 ND 54, ¶ 14, 82
16306	2014-07-17	ND_DIGIT_FLIP	2011 ND 195	2011 ND 198	PDF_HAS_BAD	ile an untimely appeal from the criminal judgment. In *[State* v.] *Baatz,* 2011 ND 195, ¶¶ 1-3 , 80
16306	2014-07-17	ND_DIGIT_FLIP	2004 ND 198	2004 ND 193	VERIFIED	ase, including the background, the experience, and the conduct of the accused. 2004 ND 198, ¶¶ 8-9, 
16307	2014-07-17	NW_DIGIT_FLIP	828 N.W.2d 257	823 N.W.2d 257	VERIFIED	on plan present a realistic opportunity for substantial gainful employment.... 2012 ND 217, ¶¶ 8-9, 
16311	2014-07-17	ND_DIGIT_FLIP	2008 ND 174	2003 ND 174	VERIFIED	rdless of their gender, belong with their mother. *See McDowell v. McDowell,* 2008 ND 174, ¶ 19, 670
16311	2014-07-17	ND_DIGIT_FLIP	2006 ND 286	2006 ND 236	VERIFIED	ing time decisions regardless of the age of the child. *See Klein v. Larson,* 2006 ND 286, ¶ 7, 724 
16332	2014-07-17	ND_DIGIT_FLIP	1999 ND 89	1999 ND 39	VERIFIED	ood Props. Ltd. P’ship,* 2007 ND 181, ¶ 10, 741 N.W.2d 461; *Burlington N.,* 1999 ND 89, ¶ 12, 590 N
16333	2014-07-17	ND_DIGIT_FLIP	2012 ND 168	2012 ND 163	VERIFIED	ational mental process leading to a reasoned determination. *Schulte v. Kramer,*2012 ND 168, ¶ 34, 8
16337	2014-07-31	NW_DIGIT_FLIP	780 N.W.2d 597	730 N.W.2d 597	VERIFIED	or when it misinterprets or misapplies the law. *Gisvold v. Windbreak, Inc.,* 2007 ND 54, ¶ 5, 780 N
16337	2014-07-31	ND_DIGIT_FLIP	2008 ND 14	2003 ND 14	VERIFIED	ether it is perverse and clearly contrary to the evidence. *Id.* *Rittenour,* 2008 ND 14, ¶ 40, 656 
16342	2014-08-28	ND_DIGIT_FLIP	2005 ND 68	2005 ND 63	VERIFIED	self-evident that admissibility is the only proper choice.” *State v. Krull,* 2005 ND 68, ¶ 9, 693 N
16352	2014-09-23	NW_DIGIT_FLIP	801 N.W.2d 728	801 N.W.2d 723	VERIFIED	m the subsequently entered criminal judgment. *See, e.g., State v. Pederson,* 2011 ND 155, ¶ 7, 801 
16352	2014-09-23	ND_DIGIT_FLIP	2004 ND 189	2004 ND 139	VERIFIED	, State v. Pederson,* 2011 ND 155, ¶ 7, 801 N.W.2d 728, *State v. Decoteau,* 2004 ND 189, ¶ 7, 681 N
16358	2014-10-28	ND_DIGIT_FLIP	2018 ND 130	2013 ND 130	VERIFIED	e harmless error.” 2008 ND 200, ¶ 8, 757 N.W.2d 556; *see State v. Dieterle,* 2018 ND 130, ¶ 13, 833
16362	2014-10-28	NW_DIGIT_FLIP	648 N.W.2d 699	643 N.W.2d 699	VERIFIED	e minimum standards of care which the community will tolerate.” *In re J.R.,* 2002 ND 78, ¶ 9, 648 N
16362	2014-10-28	ND_DIGIT_FLIP	2009 ND 63	2009 ND 53	VERIFIED	ing as the juvenile court must review the record de novo. *Interest of B.F.,* 2009 ND 63, ¶ 12, 764 
16363	2014-10-28	NW_DIGIT_FLIP	689 N.W.2d 478	639 N.W.2d 478	VERIFIED	t’s findings of fact in suppression matters. Id.” *City of Jamestown v. Jerome,*2002 ND 34, ¶ 6, 689
16365	2014-10-31	ND_DIGIT_FLIP	2018 ND 196	2013 ND 196	VERIFIED	e evidence or reassess the witnesses’ credibility. *Danuser v. IDA Mktg. Corp.,*2018 ND 196, ¶ 31, 8
16368	2014-11-12	ND_DIGIT_FLIP	2018 ND 58	2013 ND 58	VERIFIED	the marriage, and such other matters as may be material. *Woodward v. Woodward,*2018 ND 58, ¶ 4, 830
16372	2014-12-18	ND_DIGIT_FLIP	2008 ND 198	2003 ND 198	VERIFIED	or violated material terms of the written lease agreement. [¶ 16] In *VND,* 2008 ND 198, ¶¶ 14-52, 6
16379	2014-12-18	ND_DIGIT_FLIP	2014 ND 84	2014 ND 34	VERIFIED	Weflen,* 2014 ND 201, ¶ 7, 855 N.W.2d 637 (quoting *Anderson v. Zimbelman,* 2014 ND 84, ¶ 7, 842 N.W
16385	2014-12-18	NW_DIGIT_FLIP	828 N.W.2d 774	823 N.W.2d 774	VERIFIED	ourt has an opportunity to intelligently rule on it.” *State v. Tresenriter,* 2012 ND 240, ¶ 9, 828 
16385	2014-12-18	ND_DIGIT_FLIP	2007 ND 182	2007 ND 132	VERIFIED	ld have been different' if the evidence had been disclosed. *State v. Muhle,* 2007 ND 182, ¶ 25, 737
16386	2014-12-18	NW_DIGIT_FLIP	809 N.W.2d 308	809 N.W.2d 303	VERIFIED	nd therefore is a strict liability offense. *See, e.g., State v. Mittleider,* 2011 ND 242, ¶ 8, 809 
16390	2014-12-18	ND_DIGIT_FLIP	2013 ND 80	2013 ND 30	VERIFIED	¶ 2] This case stems from, and raises similar issues to, *Riemers v. Jaeger,* 2013 ND 80, 827 N.W.2d
16391	2015-01-12	NW_DIGIT_FLIP	729 N.W.2d 182	729 N.W.2d 132	VERIFIED	9 Fourth Amendment of the United States Constitution. *See State v. Olson,* 2007 ND 40, ¶ 9, 729 N.W
16392	2015-01-15	NW_DIGIT_FLIP	747 N.W.2d 98	747 N.W.2d 93	VERIFIED	evidence presented and the needs of Darlene Mertz. ' *See Lynnes v. Lynnes,* 2008 ND 71, ¶ 16, 747 N
16392	2015-01-15	ND_DIGIT_FLIP	2008 ND 29	2003 ND 29	VERIFIED	g an equitable allocation of the responsibility for repayment.” *Neidviecky,* 2008 ND 29, ¶ 11, 657 
16394	2015-01-15	ND_DIGIT_FLIP	2013 ND 87	2013 ND 37	VERIFIED	al mental process leading to a reasoned determination.” *Hanisch v. Kroshus,* 2013 ND 87, ¶ 9, 827 N
16395	2015-01-15	NW_DIGIT_FLIP	848 N.W.2d 282	843 N.W.2d 282	VERIFIED	tute our judgment for that of the agency.” *Fossum v. N.D. Dep’t of Transp.,* 2014 ND 47, ¶ 9, 848 N
16413	2015-02-12	ND_DIGIT_FLIP	2018 ND 48	2013 ND 48	VERIFIED	nclude the court’s *394 spousal support award is not clearly erroneous.” 2018 ND 48, ¶¶ 16-18, 828 N
16414	2015-02-12	NW_DIGIT_FLIP	786 N.W.2d 738	786 N.W.2d 733	VERIFIED	l responsibility is necessary to serve the child’s best interests. *Lechler,* 2010 ND 158, ¶ 9, 786 
16439	2015-03-24	ND_DIGIT_FLIP	2003 ND 80	2003 ND 30	VERIFIED	object at trial, Steen failed to preserve this issue for review. *Anderson,* 2003 ND 80, ¶ 6, 657 N.
16442	2015-03-24	NW_DIGIT_FLIP	730 N.W.2d 838	730 N.W.2d 833	VERIFIED	be reversed on appeal unless it is clearly erroneous.” *Gilbert v. Gilbert,* 2007 ND 66, ¶ 6, 730 N.
16443	2015-03-24	NW_DIGIT_FLIP	768 N.W.2d 502	763 N.W.2d 502	VERIFIED	district court is afforded wide discretion in sentencing.” *State v. Henes,* 2009 ND 42, ¶ 6, 768 N.
16443	2015-03-24	ND_DIGIT_FLIP	2008 ND 27	2003 ND 27	VERIFIED	der N.D.R.Crim.P. 11[ (c) ] are significantly different.” *Peltier v. State,* 2008 ND 27, ¶ 10, 657 
16452	2015-03-24	NW_DIGIT_FLIP	788 N.W.2d 825	783 N.W.2d 825	VERIFIED	al facts are not in dispute.” *El* *170 *lis v. North Dakota State Univ.,* 2010 ND 114, ¶ 8, 788 N.W
16455	2015-03-24	ND_DIGIT_FLIP	2011 ND 199	2011 ND 198	PDF_HAS_BAD	60; *Holkesvig v. Welte,* 2012 ND 14, 809 N.W.2d 323; *Holkesvig v. Moore,* 2011 ND 199, 806 N.W.2d 
16458	2015-04-09	NW_DIGIT_FLIP	848 N.W.2d 305	843 N.W.2d 305	VERIFIED	deference to the hearing officer’s findings. *Potratz v. N.D. Dep’t of Transp.,*2014 ND 48, ¶ 7, 848
16463	2015-04-28	ND_DIGIT_FLIP	2018 ND 148	2013 ND 148	VERIFIED	g the best interests of the child under N.D.C.C. § 14-09-06.2.” *Datz v. Dosch,*2018 ND 148, ¶ 18, 8
16464	2015-04-28	ND_DIGIT_FLIP	2011 ND 199	2011 ND 198	PDF_HAS_BAD	60; *Holkesvig v. Welte,* 2012 ND 14, 809 N.W.2d 323; *Holkesvig v. Moore,* 2011 ND 199, 806 N.W.2d 
16469	2015-04-28	NW_DIGIT_FLIP	689 N.W.2d 478	639 N.W.2d 478	VERIFIED	urt’s findings of fact in suppression matters. *City of Jamestown v. Jerome,* 2002 ND 34, ¶6, 689 N.
16469	2015-04-28	ND_DIGIT_FLIP	2018 ND 252	2013 ND 252	VERIFIED	1 N.W.2d 178 (citations omitted) (quotation marks omitted) (quoting *Nguyen,* 2018 ND 252, ¶¶ 8-9, 8
16471	2015-04-28	NW_DIGIT_FLIP	568 N.W.2d 804	563 N.W.2d 804	VERIFIED	e to value. Thomas Feist also points to *van Oosting* and *Zuger v. Zuger,* 1997 ND 97, 568 N.W.2d 8
16473	2015-04-28	ND_DIGIT_FLIP	2018 ND 252	2013 ND 252	VERIFIED	ignificantly modified when applied to a multi-family dwelling.” *See Nguyen,* 2018 ND 252, ¶13, 841 
16473	2015-04-28	NW_DIGIT_FLIP	809 N.W.2d 803	809 N.W.2d 303	VERIFIED	cy in an area is reviewed under the de novo standard of review. *Mittleider,* 2011 ND 242, ¶ 14, 809
16473	2015-04-28	ND_DIGIT_FLIP	2014 ND 211	2014 ND 217	PDF_HAS_BAD	Court also declined to reverse its holding in *Nguyen. See State v. Nguyen,* 2014 ND 211, ¶ 1, 858 N
16473	2015-04-28	NW_DIGIT_FLIP	697 N.W.2d 728	697 N.W.2d 723	VERIFIED	d because they are not necessary for resolving this appeal. *Martin v. Berg,* 2005 ND 108, ¶ 15, 697
16474	2015-04-28	ND_DIGIT_FLIP	2018 ND 184	2013 ND 184	VERIFIED	for change of venue. This Court affirmed the conviction in *State v. Howard,* 2018 ND 184, ¶ 1, 838 
16476	2015-05-01	NW_DIGIT_FLIP	889 N.W.2d 811	839 N.W.2d 811	VERIFIED	lief when a stay from the order approving the sale was not sought. *Shubert,* 2013 ND 215, ¶ 19, 889
16477	2015-05-01	NW_DIGIT_FLIP	728 N.W.2d 667	723 N.W.2d 667	VERIFIED	findings on matters of conflicting evidence. *Disciplinary Board, v. Bullis,* 2006 ND 228, ¶ 12 , 72
16477	2015-05-01	ND_DIGIT_FLIP	2007 ND 208	2007 ND 203	VERIFIED	ness’s demeanor and hear the witness testify. *Disciplinary Board v. Johnson,* 2007 ND 208 , ¶22, 74
